,RatingID,UserID,WineID,Rating,Rating_Pred_Tensor
0,18274504,1846409,105703,5.0,2.2288656
1,18317678,1061941,161155,5.0,4.128585
2,18317912,1307991,109863,3.5,2.0885017
3,15708051,2054673,188796,3.5,2.4835668
4,8822957,1357391,166954,4.0,2.301438
5,20527983,1392184,169453,4.0,2.0885017
6,18348823,1980962,172118,3.5,2.1009657
7,15573369,1978364,188796,3.0,4.128585
8,15561902,1247947,177077,4.0,3.6027722
9,17554066,1322276,186831,3.0,2.0673153
10,18279696,1031802,137825,5.0,4.2038
11,17520963,1301122,135123,4.0,3.1266675
12,17520024,1016859,197337,5.0,2.206498
13,20466174,1048033,169453,3.0,3.596796
14,17519171,1311852,187648,3.5,3.3928952
15,18285513,1219487,187644,3.0,3.908699
16,17546468,1531776,105414,4.0,3.1038384
17,18231669,1239232,166262,4.5,3.3928952
18,17662308,1915428,133171,3.0,2.3610399
19,8781105,1664616,187648,4.0,2.85591
20,20484411,1247932,173524,4.0,2.872305
21,17655934,1879962,148804,3.0,3.4496136
22,18236598,1609405,173524,2.0,2.0434432
23,16054245,1033363,183715,1.0,3.8889885
24,17667677,1247927,102318,4.5,3.428144
25,16106520,1307789,158326,4.0,3.423015
26,17689909,1048121,106051,5.0,3.4820805
27,17687589,1047980,150710,4.0,2.0885017
28,17686130,1530711,149528,2.0,1.9740119
29,18197358,1308643,142231,4.0,3.100301
30,18194362,1031642,108739,5.0,3.4820805
31,18187671,1309214,194779,3.5,2.8817673
32,18185039,1656360,102518,4.0,3.2236295
33,18730658,1033617,102518,5.0,4.128585
34,18842087,1043750,134853,4.0,3.4037366
35,18842669,1381274,172118,3.0,1.8809541
36,18835787,1524292,102518,3.0,3.2236295
37,15321086,1219520,141732,4.0,3.1489987
38,18725440,1220470,111144,4.0,2.167489
39,18727429,1737319,100995,3.0,3.0590441
40,18743251,1938321,144301,3.0,4.211724
41,18857553,1641453,144301,4.0,2.6662717
42,18854262,1016994,146405,3.5,2.8097243
43,18800412,1628769,101382,3.5,1.9977643
44,20345600,1738142,173907,3.5,2.523344
45,15399536,1102555,141732,3.0,3.1489987
46,15418599,1048121,106051,5.0,3.4820805
47,18010333,1247187,191675,4.5,3.1147623
48,18872110,1239242,109428,3.0,3.4229498
49,18754533,1032905,144965,3.5,3.895225
50,18024725,1002526,188388,4.0,3.7076483
51,18745567,1992364,144965,4.0,2.0841165
52,20205980,1915428,129352,3.0,2.1549654
53,20208925,1299325,105675,5.0,3.512229
54,18293708,1228873,144447,5.0,3.1003008
55,20209503,1304508,102518,4.5,2.681688
56,18308253,1642787,142231,3.0,3.100301
57,20301521,1357391,102518,3.0,2.1936135
58,20280817,1901061,106261,5.0,3.1606274
59,20302388,1647373,102518,3.0,3.2236295
60,18759259,1198054,145751,3.0,3.913032
61,17946596,1392042,187648,3.0,2.0885017
62,18301648,1061237,120271,5.0,3.9482136
63,18714170,1081721,159414,3.5,3.9242885
64,11642808,1058692,142354,4.5,2.8349254
65,20194224,1733196,178201,3.0,2.0885017
66,18038432,1733196,178201,3.0,2.0885017
67,18716590,1359406,165544,3.5,2.1556523
68,18716847,2047282,163384,5.0,4.141569
69,544039,1015102,111148,5.0,3.4619608
70,20081363,1849715,137825,4.0,2.8748937
71,18035980,1530520,149528,4.0,3.2430236
72,20080706,1801423,151905,4.0,2.2237334
73,18719850,1304527,142231,4.0,2.8932238
74,20068470,1946726,110357,2.0,2.3873737
75,20062087,1678824,137825,4.0,3.1245317
76,18042952,1307326,102318,3.5,3.428144
77,18783066,1806641,163384,4.0,2.6629267
78,225169,1039484,149525,3.5,3.0375564
79,20170528,1678453,162248,4.0,2.4227371
80,20172635,1923238,102518,4.0,2.0885017
81,18778094,2038095,159413,3.5,3.6591783
82,20137064,2012471,102518,4.0,3.2236295
83,20174476,2005478,158534,4.0,3.038855
84,5751838,2005478,158534,5.0,3.038855
85,20161092,1641453,161995,3.0,2.5170798
86,18778378,1816649,161286,3.0,2.8149488
87,20165855,1859398,150745,5.0,4.0710287
88,20179988,1304506,133171,3.5,3.0456057
89,18773485,1727118,126758,5.0,2.0885017
90,17385649,1395484,102318,5.0,2.8619123
91,20102878,1392340,162493,1.0,3.390915
92,20100970,1840478,137825,4.0,3.1806056
93,20100937,1278372,141732,3.5,2.921894
94,17381453,1061095,105414,4.0,4.093416
95,17343659,1915657,102318,5.0,2.0885017
96,20262388,1173876,137825,3.5,2.0885017
97,17383151,1560339,150212,4.0,3.6730733
98,20254914,1025034,137825,3.0,4.2038
99,19309595,1700794,163640,3.0,3.0471675
100,19345917,1614544,119757,4.5,2.0885017
101,12569770,1678586,158326,4.0,3.181015
102,19339101,1860893,171563,2.5,2.0885017
103,20092305,1756461,171177,3.5,2.3239567
104,16091438,1061628,188244,4.0,3.2881455
105,19342011,1990928,144447,4.0,3.1003008
106,19341805,1698010,171563,5.0,2.2358253
107,19341611,1505182,171177,3.0,2.3239567
108,19341315,1505182,171563,4.0,2.2358253
109,20116458,1570814,161995,3.0,1.9684473
110,20075185,1033536,159413,4.0,3.6591783
111,20069288,1606641,165544,4.0,3.0403597
112,20120900,1726087,137825,4.0,3.452624
113,17339275,1003517,194779,5.0,3.9482136
114,20113393,1228876,194779,4.0,3.6486084
115,19319559,1524292,171563,2.0,3.174022
116,19372108,2048110,163384,4.0,2.0885017
117,20065587,1822961,100995,3.0,2.1734073
118,4436157,1013351,129043,3.5,2.3238912
119,20061428,1256919,151840,3.5,2.9194922
120,20061458,1735584,150609,4.0,3.154526
121,20162810,1433599,109892,3.0,3.6359153
122,20079728,1655354,133544,3.0,2.5653248
123,20088784,1379883,174113,4.0,4.063077
124,20220685,1016682,106084,4.5,4.093985
125,18401687,1612893,163640,5.0,2.0885017
126,12951496,1269002,142354,4.0,3.053947
127,20216949,1852060,194779,4.0,3.1136174
128,20196657,1625704,166390,4.0,3.632583
129,18403593,1310987,126758,4.5,3.048663
130,18417831,1220470,130751,3.0,2.2897515
131,1010049,1893822,135715,2.0,2.0885017
132,20291784,1649010,137825,5.0,3.9415941
133,18435134,1424989,131433,2.5,3.0403683
134,20298937,1301068,108123,3.5,3.4103196
135,20256619,1025267,165783,5.0,3.6917949
136,18435317,1654730,163384,3.5,2.0885017
137,18432729,1950818,163640,4.0,1.9001372
138,17392816,1304550,135178,3.0,2.0885017
139,20299851,1304550,130156,2.5,2.0885017
140,18408888,1228818,144805,4.0,3.4258966
141,20215503,1242879,197887,2.0,3.4125094
142,19335390,1726292,144805,4.0,2.3364232
143,12499664,1979626,135783,4.0,3.0825176
144,19336425,1304508,171177,3.0,2.915865
145,19335116,1770875,149528,3.0,2.2357724
146,19915937,1612893,165072,4.0,2.0885017
147,19344544,1880734,171563,3.0,2.0885017
148,19345064,1309237,171563,3.5,2.5942864
149,19878308,1247978,129032,3.5,2.5343506
150,19330738,1820273,163640,4.0,3.0471675
151,11748144,1640162,196447,2.5,2.840504
152,15530571,1866399,159049,4.0,2.885206
153,18411350,1984601,171563,5.0,2.9104576
154,11745599,1905639,163384,4.0,3.0799277
155,20022428,1420636,166912,5.0,3.6539578
156,20051649,1542989,170873,3.0,2.3521094
157,18413006,1460056,171177,4.0,3.2157733
158,20047632,1460056,171177,4.0,3.2157733
159,12643821,1319666,166954,3.5,3.167747
160,20004729,1025081,170658,4.0,1.9703289
161,19332981,1454453,104998,4.0,2.0885017
162,18156333,1866685,102318,5.0,4.129077
163,19816938,1805492,199490,3.0,3.4860845
164,19816486,1303406,140540,4.0,2.8482125
165,19256131,1990826,171177,4.5,2.843014
166,19255464,1559391,171177,3.5,3.0793009
167,19870257,1522999,108697,3.5,3.0707114
168,19254027,1697992,171563,3.0,2.9214587
169,19255882,1828070,171563,4.0,3.174022
170,20011680,1246879,137825,4.0,3.1245317
171,18173877,1793895,100364,4.0,2.2085395
172,20057363,1655039,102326,5.0,4.00572
173,13310736,1848168,170522,3.5,2.8574085
174,19250254,1854943,162478,4.0,2.0885017
175,19243689,1618359,171563,3.5,2.2358253
176,1223868,1078055,135715,2.0,2.0367103
177,19238972,1392597,169518,3.0,2.0885017
178,11784921,1301794,196447,4.0,2.195443
179,18176396,1879962,148084,4.5,3.3449621
180,15652793,1454833,102326,5.0,3.7608476
181,15658344,1591272,141732,3.0,3.5336025
182,19222098,1575082,101182,4.0,2.6589472
183,15707498,1061095,102326,4.5,4.00572
184,15682879,1531776,102326,4.0,3.0259252
185,19225323,1876594,171563,5.0,2.9214587
186,15656306,1716447,148084,4.0,2.0885017
187,18063678,1716447,148084,4.0,2.0885017
188,15651882,1569560,131788,4.0,3.1919549
189,19841708,1726087,102338,4.0,3.4374564
190,19224321,1618359,171177,3.5,2.3239567
191,18068027,1360479,157719,3.0,3.0785918
192,19845657,1309188,140540,3.5,2.4350789
193,18087811,1829216,102318,4.0,2.884464
194,19220361,1000950,161286,3.5,4.035406
195,19822789,1908554,146405,4.0,3.0957713
